"page","results__backdrop_path","results__id","results__title","results__original_title","results__overview","results__poster_path","results__media_type","results__adult","results__original_language","results__genre_ids__001","results__genre_ids__002","results__genre_ids__003","results__genre_ids__004","results__genre_ids__005","results__popularity","results__release_date","results__video","results__vote_average","results__vote_count","total_pages","total_results"
"","/9R9Za5kybgl5AhuCNoK3gngaBdG.jpg","1114513","Speak No Evil","Speak No Evil","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.","/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg","movie","False","en","27","53","","","","1139.837","2024-09-11","False","7.3","577","",""
"","/3LVVSvAkQGbL5fvG4VM3GfMaZBe.jpg","1052280","It's What's Inside","It's What's Inside","A pre-wedding reunion descends into a psychological nightmare for a group of college friends when a surprise guest arrives with a mysterious suitcase.","/3W7g9hAXii3fZzKmMrPHSL1M20K.jpg","movie","False","en","35","9648","878","53","","411.071","2024-01-19","False","6.4","113","",""
"","/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg","933260","The Substance","The Substance","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","/lqoMzCcZYEFK729d6qzt349fB4o.jpg","movie","False","en","27","18","878","","","1633.898","2024-09-07","False","7.3","259","",""
"","/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg","1022789","Inside Out 2","Inside Out 2","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg","movie","False","en","16","10751","12","35","18","1258.608","2024-06-11","False","7.629","4226","",""
"","/Asg2UUwipAdE87MxtJy7SQo08XI.jpg","957452","The Crow","The Crow","Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.","/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg","movie","False","en","28","14","27","53","80","1158.108","2024-08-21","False","5.6","540","",""
"","/xlkclSE4aq7r3JsFIJRgs21zUew.jpg","1034541","Terrifier 3","Terrifier 3","Five years after surviving Art the Clown's Halloween massacre, Sienna and her brother are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.","/7NDHoebflLwL1CcgLJ9wZbbDrmV.jpg","movie","False","en","27","53","","","","723.212","2024-10-09","False","6.9","8","",""
"","/kB7Eo8fjyHn4a80A2WUfW6YiMPG.jpg","1190868","V/H/S/Beyond","V/H/S/Beyond","The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.","/wXaf6VGNHIGU7qivapGOF7o4o4N.jpg","movie","False","en","27","878","53","","","208.638","2024-09-20","False","6.839","62","",""
"","/6n8x85cljOfJkUvPDc7tTmGPv7F.jpg","1029235","Azrael","Azrael","In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.","/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg","movie","False","en","28","27","53","","","167.343","2024-09-27","False","5.6","27","",""
"","/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg","912649","Venom: The Last Dance","Venom: The Last Dance","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.","/aosm8NMQ3UyoBVpSxyimorCQykC.jpg","movie","False","en","28","878","12","","","308.162","2024-10-23","False","0.0","0","",""
"","/3tkDMNfM2YuIAJlvGO6rfIzAnfG.jpg","619264","The Platform","El hoyo","A slab of food descends down a vertical facility. The residents above eat heartily, leaving those below starving and desperate. A rebellion is imminent.","/8ZX18L5m6rH5viSYpRnTSbb9eXh.jpg","movie","False","es","18","878","53","","","426.248","2019-11-08","False","7.0","6932","",""
